NAME,total_households,no_vehicle_households,state_fips,county_fips,tract_fips,GEOID,pct_no_vehicle
Census Tract 90; Bronx County; New York,1247,693,36,005,009000,36005009000,0.5557337610264635
Census Tract 92; Bronx County; New York,1856,841,36,005,009200,36005009200,0.453125
Census Tract 93.01; Bronx County; New York,1876,1286,36,005,009301,36005009301,0.685501066098081
Census Tract 93.02; Bronx County; New York,0,0,36,005,009302,36005009302,
Census Tract 96; Bronx County; New York,876,452,36,005,009600,36005009600,0.5159817351598174
Census Tract 98; Bronx County; New York,1638,360,36,005,009800,36005009800,0.21978021978021978
Census Tract 110; Bronx County; New York,0,0,36,005,011000,36005011000,
Census Tract 115.02; Bronx County; New York,1439,1046,36,005,011502,36005011502,0.7268936761640028
Census Tract 117.01; Bronx County; New York,493,348,36,005,011701,36005011701,0.7058823529411765
Census Tract 117.02; Bronx County; New York,0,0,36,005,011702,36005011702,
Census Tract 118; Bronx County; New York,1501,78,36,005,011800,36005011800,0.0519653564290473
Census Tract 119; Bronx County; New York,1944,1487,36,005,011900,36005011900,0.7649176954732511
Census Tract 121.01; Bronx County; New York,1030,627,36,005,012101,36005012101,0.6087378640776699
Census Tract 121.02; Bronx County; New York,522,366,36,005,012102,36005012102,0.7011494252873564
Census Tract 123; Bronx County; New York,1699,862,36,005,012300,36005012300,0.5073572689817539
Census Tract 125; Bronx County; New York,1386,749,36,005,012500,36005012500,0.5404040404040404
Census Tract 127.01; Bronx County; New York,780,424,36,005,012701,36005012701,0.5435897435897435
Census Tract 129.01; Bronx County; New York,1739,1328,36,005,012901,36005012901,0.7636572742955722
Census Tract 130; Bronx County; New York,449,138,36,005,013000,36005013000,0.30734966592427615
Census Tract 131; Bronx County; New York,2107,1582,36,005,013100,36005013100,0.7508305647840532
Census Tract 132; Bronx County; New York,2592,471,36,005,013200,36005013200,0.18171296296296297
Census Tract 133; Bronx County; New York,2272,1576,36,005,013300,36005013300,0.6936619718309859
Census Tract 135; Bronx County; New York,1479,994,36,005,013500,36005013500,0.6720757268424611
Census Tract 138; Bronx County; New York,1205,257,36,005,013800,36005013800,0.21327800829875518
Census Tract 141; Bronx County; New York,2836,2224,36,005,014100,36005014100,0.7842031029619182
Census Tract 143; Bronx County; New York,696,513,36,005,014300,36005014300,0.7370689655172413
Census Tract 144; Bronx County; New York,2411,1726,36,005,014400,36005014400,0.7158855246785566
Census Tract 145; Bronx County; New York,2418,2146,36,005,014500,36005014500,0.8875103391232424
Census Tract 147.01; Bronx County; New York,2064,1709,36,005,014701,36005014701,0.8280038759689923
Census Tract 147.02; Bronx County; New York,1934,1504,36,005,014702,36005014702,0.7776628748707343
Census Tract 149; Bronx County; New York,1485,1095,36,005,014900,36005014900,0.7373737373737373
Census Tract 151; Bronx County; New York,2088,1461,36,005,015100,36005015100,0.6997126436781609
Census Tract 152; Bronx County; New York,987,183,36,005,015200,36005015200,0.18541033434650456
Census Tract 153; Bronx County; New York,1753,1278,36,005,015300,36005015300,0.7290359383913292
Census Tract 155; Bronx County; New York,1107,787,36,005,015500,36005015500,0.7109304426377597
Census Tract 157; Bronx County; New York,2095,1538,36,005,015700,36005015700,0.7341288782816229
Census Tract 158; Bronx County; New York,494,188,36,005,015800,36005015800,0.3805668016194332
Census Tract 159; Bronx County; New York,873,373,36,005,015900,36005015900,0.427262313860252
Census Tract 160; Bronx County; New York,1497,180,36,005,016000,36005016000,0.12024048096192384
Census Tract 161; Bronx County; New York,1957,1511,36,005,016100,36005016100,0.772100153295861
Census Tract 162; Bronx County; New York,506,77,36,005,016200,36005016200,0.15217391304347827
Census Tract 163; Bronx County; New York,0,0,36,005,016300,36005016300,
Census Tract 164; Bronx County; New York,412,116,36,005,016400,36005016400,0.2815533980582524
